date,total_confirmed,total_recovered,total_death
2020-01-22,555,28,17
2020-01-23,653,30,18
2020-01-24,941,36,26
2020-01-25,1434,39,42
2020-01-26,2118,52,56
2020-01-27,2927,61,82
2020-01-28,5578,107,131
2020-01-29,6166,126,133
2020-01-30,8234,145,171
2020-01-31,9927,224,213
2020-02-01,12038,287,259
2020-02-02,16787,475,362
2020-02-03,19881,626,426
2020-02-04,23892,855,492
2020-02-05,27636,1127,564
2020-02-06,30818,1490,634
2020-02-07,34392,2015,719
2020-02-08,37121,2623,806
2020-02-09,40151,3251,906
2020-02-10,42763,3953,1013
2020-02-11,44803,4704,1113
2020-02-12,45222,5189,1118
2020-02-13,60370,6342,1371
2020-02-14,66887,8107,1523
2020-02-15,69032,9455,1666
2020-02-16,71226,10937,1770
2020-02-17,73260,12664,1868
2020-02-18,75138,14455,2007
2020-02-19,75641,16235,2122
2020-02-20,76199,18292,2247
2020-02-21,76843,19019,2251
2020-02-22,78599,23017,2458
2020-02-23,78985,23544,2469
2020-02-24,79570,25387,2629
2020-02-25,80415,28076,2708
2020-02-26,81397,30631,2770
2020-02-27,82756,33571,2814
2020-02-28,84122,37038,2872
2020-02-29,86013,40174,2941
2020-03-01,88371,43200,2996
2020-03-02,90309,46274,3085
2020-03-03,92843,48921,3160
2020-03-04,95123,52243,3254
2020-03-05,97885,55210,3348
2020-03-06,101799,57602,3460
2020-03-07,105835,60968,3558
2020-03-08,109814,63814,3803
2020-03-09,113583,66031,3996
