date,total_confirmed,total_recovered,total_death
1/22/20,555,28,17
1/23/20,653,30,18
1/24/20,941,36,26
1/25/20,1434,39,42
1/26/20,2118,52,56
1/27/20,2927,61,82
1/28/20,5578,107,131
1/29/20,6166,126,133
1/30/20,8234,145,171
1/31/20,9927,224,213
2/1/20,12038,287,259
2/2/20,16787,475,362
2/3/20,19881,626,426
2/4/20,23892,855,492
2/5/20,27636,1127,564
2/6/20,30818,1490,634
2/7/20,34392,2015,719
2/8/20,37121,2623,806
2/9/20,40151,3251,906
2/10/20,42763,3953,1013
2/11/20,44803,4704,1113
2/12/20,45222,5189,1118
2/13/20,60370,6342,1371
2/14/20,66887,8107,1523
2/15/20,69032,9455,1666
2/16/20,71226,10937,1770
2/17/20,73260,12664,1868
2/18/20,75138,14455,2007
2/19/20,75641,16235,2122
2/20/20,76199,18292,2247
2/21/20,76843,19019,2251
2/22/20,78599,23017,2458
2/23/20,78985,23544,2469
2/24/20,79570,25387,2629
2/25/20,80415,28076,2708
2/26/20,81397,30631,2770
2/27/20,82756,33571,2814
2/28/20,84122,37038,2872
2/29/20,86013,40174,2941
3/1/20,88371,43200,2996
3/2/20,90309,46274,3085
3/3/20,92843,48921,3160
3/4/20,95123,52243,3254
3/5/20,97885,55210,3348
3/6/20,101799,57602,3460
3/7/20,105835,60968,3558
3/8/20,109814,63814,3803
3/9/20,113583,66031,3996
